French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
